rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
56,premier,"det, nadj",first,"est-elle la première épouse, la deuxième? –","is she the first wife, the second one?",84,27061
57,vouloir,"nm, v",to want,tu veux faire ton chemin. c’est bien –,you want to continue on your way. that’s OK,79,36467
58,déjà,adv,already,les rues étaient déjà pleines de monde –,the streets were already full of people,93,11298
59,grand,"adv, nadj","great, big, tall",tu es plus grand que je pensais –,you’re taller than I thought,87,21583
60,mon,det,my,t’aurais pu rencontrer mon copain –,you could’ve met my buddy,70,55084
61,me,pro,"me, to me, myself",reviens me voir dans cinq ou six ans –,come back to see me in five or six years,65,63357
62,moins,"adji(pl), adv, nm(pl), prep",less,il avait moins d’excuses encore que ses complices –,he had even less excuses than his accomplices did,90,14730
63,aucun,"det, adj, pro","none, either, neither, not any",trop d’argent et aucun goût –,too much money and no taste,93,9641
64,lui,pro,"him, her",mais j’ai confiance qu’en lui –,but I have confidence in him,75,38286
65,temps,nm(pl),time,"sur le plan spirituel, le temps n’existe pas –","on the spiritual level, time does not exist",86,20420
66,très,adv,very,"j’ai été bonne? très, très bonne –","was I good? very, very good",82,26324
67,savoir,"nm, v",to know,je ne savais plus quoi dire –,I didn’t know what to say any more,78,32739
68,falloir,v,"to take, require, need","il ne faut pas être raciste, point –","there’s no need to be a racist, at all",84,22844
69,voir,v,to see,je tenais seulement à te voir pour te dire … bonne chance –,I just wanted to see you to say … good luck,78,30907
70,quelque,"adv, adj, det",some,il restera pour quelques mois –,he will stay for a few months,86,18939
71,sans,prep,without,je fais plus jeune sans maquillage –,I look younger without makeup,81,25099
72,raison,nf,reason,"elle a raison, tu sais –","she’s right, you know",92,9506
73,notre,det,our,notre ville a le sens de la communauté –,our city has a sense of community,78,29713
74,dont,pro,"whose, of which",on a tout ce dont tu rêvais en ville –,everything you dreamed about is available in town,86,17841
75,non,"adv, nmi","no, not","non, je ne peux pas parler maintenant –","no, I can’t talk now",81,24848
76,an,nm,year,j’avais un an à la mort de mon père –,I was one year old when my father died,82,22241
77,monde,nm,"world, people",notre ultime but est de reconstruire le monde –,our ultimate goal is to remake the world,87,15475
78,jour,nm,day,"un jour, je retrouverais mes vrais parents","one day, I would find my real parents",86,17641
79,monsieur,nm,"mister, sir, gentleman","comment allez-vous , monsieur?","how are you, sir?",67,45411
80,demander,v,to ask for,j’ai un service à vous demander,I would like to ask you to do something for me,86,16076
81,alors,adv,"then, so",et alors? vous revenez quand? –,so? when are you coming back ?,84,18443
82,après,"adv, prep",after,il a succombé à ses blessures peu après –,he shortly thereafter succumbed to his wounds,83,17733
83,trouver,v,to find,j’ai trouvé du sang. sur le siège avant –,I found some blood. on the front seat,85,16036
84,personne,"nf, pro","person, people, anybody, anyone, nobody",il ne parlait à personne en particulier –,he was speaking to nobody in particular,84,16218
85,rendre,v,"to render, return, yield, give up",je m’y rendis à 4 heures du matin –,I went there at 4 o’clock in the morning,90,10226
86,part,nf,share,je voudrais vous faire part de quelques données –,I want to share some data with you,91,8971
87,dernier,nadj,last,c’est le dernier endroit où vous auriez dû vous rencontrer –,that’s the last place you should have met,83,17524
88,venir,v,to come,venez rencontrer les autres –,come meet the others,81,19776
89,pendant,"adj, prep, nm",during; pendant,où t’étais pendant tout ce temps? –,where were you all of this time?,91,8413
90,passer,v,to pass,nous sommes passées devant la maison de ma grand-mère –,we went past the front of my grandmother’s place,83,17070
91,peu,adv,little,un secret se dévoile peu à peu –,a secret unfolds little by little,81,18830
92,lequel,pro,"who, whom, which",il y a bien des points sur lesquels je voudrais faire des commentaires –,there are many points on which I would like to comment,87,12507
93,suite,nf,"result, follow-up, rest","deux, trois et ainsi de suite –","two, three, and so on",93,5964
94,bon,"adj, adv, intj, nm",good,ce n’est pas le bon moment –,it’s not a good time,81,18375
95,comprendre,v,to understand,je comprends que vous soyez fâché –,I understand that you’re upset,87,12482
96,depuis,"adv, prep","since, for",je le connais depuis le lycée –,I have known him since high school,83,16243
97,point,"adv, nm",point; at all,je suis d’accord avec ce point de vue –,I’m in agreement with that point of view,85,13938
98,ainsi,adv,thus,qu’est-ce qui le pousse à agir ainsi? –,what drives him to act that way?,86,12358
99,heure,nf,hour,a quelle heure sont-ils partis? –,at what time did they leave?,85,13215
100,rester,v,to stay,"le temps qu’il te reste, trouve une solution –","in the remaining time, find a solution",86,11942
101,seul,adj,"alone, only",parler tout seul était signe d’aliénation –,talking to oneself was a sign of loneliness,84,13542
102,année,nf,year,il devait se présenter l’année suivante –,he had to show up the next year,81,16316
103,toujours,adv,always,tu es toujours en retard –,you’re always late,81,15106
104,tenir,v,to hold,c’est une porte de sécurité. tiens ça –,it’s a security door. hold this,85,12229
105,porter,"nm, v","to wear, carry",il a porté le maillot jaune un jour –,he wore the yellow jersey one day,89,8044
106,parler,"nm, v",to speak,je sais de quoi je parle –,I know what I’m talking about,77,18598
107,fort,"adv, adj, nm",strong,c’est une femme forte –,she is a strong woman,90,6811
108,montrer,v,to show,c’est une étrange façon de montrer votre reconnaissance –,that’s a strange way to show your gratitude,92,5634
109,là,"adv, intj","there, here",je n’étais pas passé par là –,I hadn’t passed by there,73,21735
110,certain,"adj, det, nm, pro","certain, sure",certains ont affirmé que le gouvernement était trop faible –,some contend that the government was too weak,79,16317
111,fin,"adj, adv, nf, nm",end; gist; clever person,la fin est importante en toutes choses –,the ending is important in everything,85,10595
112,tu,pro,you,"a ma place, tu ne le ferais pas –","in my position, you would not do it",54,42483
113,continuer,v,to continue,tu continues de m’impressionner –,you continue to impress me,91,6377
114,pays,nm(pl),country,ils vivent dans ce beau pays –,they live in this beautiful country,74,19496
115,trois,"det, nmi",three,les trois chasseurs étaient en pleine lumière,the three hunters were directly in the light,83,12562
116,penser,"nm, v",to think,je pense que vous le connaissez bien –,I think you know him very well,78,16338
117,lieu,nm,place,je suis né dans un lieu public –,I was born in a public place,89,7344
118,partie,nf,part,il garde la majeure partie de cet argent –,he’s keeping most of that money,85,10177
119,quand,"adv, conj",when,tu aurais dû me tuer quand tu en as eu l’occasion –,you should have killed me when you had the chance,75,18704
120,suivre,v,to follow,"les autres, suivez-moi! –","everybody else, follow me!",89,7251
121,contre,"adv, nm, prep",against,"je vois, tu es en colère contre moi –",I see you’re angry with me,78,15564
122,sous,prep,under,juste sous ton nez –,right under your nose,84,10840
123,côté,nm,side,il s’arrête à côté du fauteuil –,he stops beside the armchair,89,7002
124,ensemble,"adv, nm",together,on n’a jamais été si bien ensemble –,we’ve never gotten along so well together,90,6055
125,chose,"adj(f), nf",thing,les choses pourraient bien changer à l’avenir –,things could change in the future,75,18086
126,enfant,"nm, nf, adj(f)",child,mes enfants sont en vie –,my children are alive,85,9836
127,cause,nf,cause,ces hallucinations ont une cause –,these hallucinations have a cause,91,5353
128,politique,nadj(f),politics; political,elle se spécialise en sciences politiques –,her specialty is political science,77,15972
129,place,nf,"room, space, square, place",je n’aimerais pas être à votre place –,I wouldn’t want to be in your stead,87,8092
130,seulement,adv,only,"on va seulement rester quelques jours, ma chérie –","we’re only going to stay a few days, my dear",88,7546
131,moi,"nm, pro",me,tu sors avec moi ce soir? –,are you going out with me tonight?,63,27118
132,vie,nf,life,je suis sûr qu’elle est en vie –,I’m sure she’s alive,80,13285
133,connaître,v,to know,je le connaissais depuis vingt ans –,I had known him for twenty years,83,10612
134,jusque,"adv, prep","to, up to, until",ils me poursuivirent jusque dans la rue –,they followed me right into the street,85,9482
135,croire,v,to believe,je n’arrive pas à y croire –,I just can’t believe it,77,15044
136,homme,nm,man,l’homme est plus important que l’État –,man is more important than country,76,15266
137,cas,nm(pl),case,"en tout cas, moi, je ne l’ai pas –","in any case, I don’t have it",80,12096
138,petit,nadj,"small, little",ce petit drogué n’a pas tort –,this little drug addict isn’t wrong,76,15029
139,commencer,v,"to begin, start",il est important que ces entretiens commencent immédiatement –,it’s important that these meetings start immediately,88,6996
140,compter,v,to count,je peux compter sur toi –,I can count on you,89,6072
141,fait,"adj, nm","done, fact","dans les faits, il a raison –","factually, he is correct",80,12241
142,tel,"adj, det, pro",such,je vais m’abstenir d’employer un tel langage,I’m going to refrain from using such language,84,9491
143,droit,"adj, adv, nm",right,elle a le droit de tout savoir –,she has the right to know everything,78,13566
144,question,nf,question,je suis gêné de répondre à cette question –,I’m embarrassed to answer this question,68,20584
145,donc,conj,"so, then, therefore, thus",nous avons donc dû faire les calculs nous-mêmes –,we had to do the calculations ourselves,74,15588
146,quel,"det, adj, pro","which, what",quel livre cherchiez-vous? –,which book are you looking for?,80,11958
147,général,nadj,general,voici quelques conseils généraux –,here are a few general pieces of advice,82,10245
148,moment,nm,moment,arrête de parler pour un moment –,stop talking for a moment,82,10053
149,entendre,v,to hear,j’ai entendu la nouvelle –,I heard the news,81,10290
150,beaucoup,adv,"much, a lot of, many",il est en mesure de révéler beaucoup de choses –,he’s in a position to reveal many things,78,12421
151,chaque,"det, adj",each,chaque entreprise doit avoir sa propre organisation –,every company must have its own organization,86,7202
152,jeune,nadj(f),young,le gouvernement cherche à exploiter les jeunes –,the government is trying to exploit young people,83,9357
153,travail,nm,work,je ne prenais pas mon travail au sérieux –,I wasn’t taking my work seriously,78,11952
154,femme,nf,"woman, wife",je vous déclare maintenant mari et femme,I now declare you husband and wife,78,12016
155,attendre,v,to wait,ma mère m’attend dans la grande salle –,my mother awaits me in the large room,82,9327
156,remettre,v,"to deliver, replace, set, put",on s’est remis à marcher –,we resumed walking,93,3181
157,appeler,v,to call,comment s’appelle-t-il? –,what’s his name?,83,8899
158,permettre,v,to allow,vous permettez que j’utilise votre téléphone?,would you allow me to use your telephone?,78,11760
159,occuper,v,to occupy,sa main droite était occupée à tenir la petite valise –,his right hand was busy holding the small suitcase,92,3921
160,gouvernement,nm,government,le gouvernement a augmenté les impôts –,the government increased taxes,58,25743
161,eux,pro,them,c’est eux qui comptent –,they are the ones who matter,87,6631
162,devenir,"nm, v",to become,je suis très heureux que vous deveniez ma voisine –,I’m very happy you’ve become my neighbor,82,8933
163,partir,v,to leave,il est parti à présent –,he is gone for the moment,83,8299
164,plan,"adj, nm",plan,achetez donc un plan de la ville –,so buy a map of the city,87,5978
165,décider,v,to decide,j’ai décidé d’écrire un roman –,I decided to write a novel,88,5533
166,soit,"adv, conj",either…or,il a pas le choix: soit il est une star soit il est rien –,he doesn’t have a choice: either he’s a star or he’s nothing,84,7623
167,ici,adv,here,moi je reste ici –,I’m going to stay here,77,11898
168,rien,"adv, nm, pro",nothing,"moi, je n’en sais rien –",I don’t know anything about it,69,16549
169,cours,"nfpl, nm(pl)",course,ils organisaient des petits cours et des séminaires –,they organized short courses and seminars,82,8559
170,affaire,nf,"business, matter",occupe-toi de tes affaires –,mind your own business,80,9899
171,nom,nm,name,quel est son nom? –,what is his name?,85,6836
172,famille,nf,family,il provient sûrement d’une excellente famille –,he surely comes from an excellent family,87,5986
173,effet,nm,effect,"il s’agit, en effet, d’une question cruciale –","it is, indeed, a crucial question",83,8142
174,arriver,v,"to arrive, happen",cela ne m’était pas arrivé depuis –,that hasn’t happened to me since,79,10070
175,possible,adj(f),possible,nous avons donc deux scénarios possibles –,so we have two possible scenarios,86,6178
176,car,"conj, nm",because; bus,"c’est dommage, car tu vas perdre un gros client –","it’s too bad, because you’re going to lose a major customer",81,8864
177,servir,v,to serve,il m’a servi une coupe de champagne –,he served me a glass of champagne,89,4942
178,mois,nm(pl),month,il a écrit ce livre en deux mois –,he wrote this book in two months,82,8318
179,jamais,adv,never,je jure de ne plus jamais te contacter –,I swear I will never contact you again,73,12997
180,sembler,v,to seem,le processus semble irréversible –,the process seems irreversible,83,7471
181,tant,adv,"so much, so many",mais vous avez tant à enseigner –,but you have so much to teach,84,7284
182,vers,"nm(pl), prep",toward; verse,un tram se dirige vers toi. monte dedans –,a tram is approaching you. get on it,77,10203
183,besoin,nm,need,nous avons vraiment besoin d’aide –,we really need some help,82,7899
184,revenir,v,to come back,je sais qu’elle ne reviendra jamais –,I know she will never return,85,6514
185,dès,prep,"from, as soon",on me fera signe dès que vous descendrez –,they’ll wave to me as soon as you get down there,89,4537
186,moyen,"adj, nm","means, way; medium",il songeait aux moyens de profiter de sa victoire –,he was dreaming of a way to profit from his victory,81,8104
187,groupe,nm,group,on va commencer avec le premier groupe –,we’ll start with the first group,76,10535
188,problème,nm,problem,nous avons osé soulever le problème –,we dared raise the problem,76,10795
189,rapport,nm,"relationship, report",je propose que le rapport du comité soit adopté –,I move that the committee’s report be adopted,75,11146
190,peut-être,adv,"perhaps, maybe",j’ai peut-être une idée –,I might have an idea,79,9067
191,vue,nf,view,"la vue est belle, de cette fenêtre –",the view from this window is pretty,87,5172
192,maintenant,adv,now,je ne peux pas partir maintenant –,I can’t leave now,78,9309
193,pourquoi,"adv, conj, nmi",why,pourquoi tu ne m’invites pas? –,why don’t you invite me?,74,11128
194,meilleur,nadj,"better, best",j’apprends à être un meilleur mari –,I’m learning to be a better husband,87,5030
195,trop,adv,"too much, too many",la vie est trop courte. essayez d’être heureuse –,life is too short. try to be happy,78,9356
196,laisser,v,to leave,il va nous laisser tranquilles –,he’ll leave us alone,77,9854
197,ordre,nm,order,ce sont des scientifiques de premier ordre –,they are first-rate scientists,86,5610
198,devant,"adv, nm, prep","in front, ahead",une fumée montait devant nous sur l’horizon –,smoke billowed ahead of us on the horizon,81,7783
199,recevoir,v,to receive,il n’a plus reçu de lettres de moi –,he didn’t receive any more letters from me,82,7201
200,répondre,v,to answer,j’aimerais y répondre par une autre question –,I would like to respond to it with another question,83,6672
201,vivre,"nm, v",to live,aucune Marocaine ne vit seule dans le quartier –,no Moroccan woman lives alone in the neighborhood,80,8023
202,long,"adv, nadj","long, lengthy","l’éducation sur le long terme paiera, j’en suis convaincu –","long-term education pays off, I’m convinced of that",82,6947
203,service,nm,service,je faisais mon service militaire –,I was doing my military service,75,10131
204,ministre,"nm, nf",minister,les ministres se sont réunis dans la nuit –,the ministers met during the night,57,20107
205,face,nf,"front, side, face",,,,
206,chez,prep,"at, with",elle ira peut être vivre définitivement chez lui –,she might go live with him permanently,78,8646
207,te,pro,"you, to you, from you",je vais t’emmener chez un médecin –,I’m going to take you to a doctor,51,23312
208,rappeler,v,"to recall, call back",je ne me rappelle pas avoir été aussi heureux –,I don’t remember having been that happy,86,4966
209,présenter,v,to present,papa je te présente Claire –,"daddy, this is Claire",79,8243
210,accepter,v,to accept,j’accepte avec plaisir votre aimable invitation –,I accept with pleasure your kind invitation,87,4705
211,agir,v,to act,c’est le moment d’agir –,now is the time to act,78,8418
212,simple,nadj(f),simple,on préférerait une réponse simple –,we would prefer a simple answer,90,3579
213,plusieurs,"det, adj, pro",several,il y a plusieurs formes d’humour –,there are several types of humor,80,7714
214,votre,det,your,permettez-moi de vous parler dans votre langue –,allow me to speak to you in your language,64,15483
215,important,nadj,important,c’est une question extrêmement importante –,it’s an extremely important question,75,9564
216,présent,nadj,present,il est trop tard pour dîner à présent –,it’s too late to have supper now,86,5151
217,mieux,"adji(pl), adv, nm",better,je ne vous ai jamais mieux aimée –,I have never loved you more,82,6736
218,poser,v,"to put, pose, ask",je ne me posais plus de questions –,I didn’t ask myself any more questions,84,5949
219,jouer,v,to play,les enfants jouent dehors –,the children are playing outside,83,6092
220,mot,nm,word,je ne crois pas un mot sorti de ta petite bouche –,I don’t believe a single word from your little mouth,81,7191
221,reconnaître,v,to recognize,Joseph reconnut le chant de la grive –,Joseph recognized the thrush’s song,85,5513
222,force,nf,force,parle-moi de ces forces surnaturelles –,talk to me of these supernatural forces,80,7546
223,situation,nf,situation,"dans des situations aussi difficiles, il faut trancher –","in such difficult situations, drastic measures must be taken",79,7616
224,offrir,v,to offer,"alors, je vous offre la vie éternelle –",so I offer you eternal life,87,4365
225,près,"adv, prep","near, nearby, close by",il y a un siège vide près de vous –,there’s an empty seat near you,81,6660
226,choisir,v,to choose,c’est maintenant le moment de choisir –,now is the moment to choose,89,3731
227,national,nadj,national,il y avait l’intérêt national français –,the national interests of the French were involved,74,9570
228,projet,nm,project,le gouvernement ne financerait aucun projet touchant cette pratique –,the government would not fund any project involving this practice,60,16661
229,ni,conj,nor,"je ne mange pas de viandes, ni de produits laitiers –",I don’t eat meat or dairy products,77,8528
230,puis,adv,"then, so","elle a tenté de me tuer, puis elle m’a chassée –","she tried to kill me, then she chased me",72,10366
231,toucher,"nm, v",to touch,il lui touche l’épaule –,he touches her shoulder,88,4032
232,train,nm,train,je pris le train pour un aller-retour vers la mer –,I took the train on a round-trip outing to the sea,90,3198
233,aujourd’hui,adv,today,"je peux, aujourd’hui encore, en réciter –",even today I can still recite some of them,73,9905
234,comment,"adv, conj, intj, nmi",how,voyons un peu comment les choses se sont passées –,let’s take a look at how things unfolded,72,10133
235,surtout,"adv, nm","especially, above all",j’ai surtout besoin d’argent –,what I need above all is money,83,5548
236,gens,nmpl,people,des gens sont venus me voir –,people came to see me,70,11090
237,propre,nadj(f),"clean, proper","la pétasse était propre, mec –","the woman was clean, man",85,5012
238,grâce,nf,"thanks, grace, favour",je ne vous demande aucune grâce –,I’m not asking you for any favors,90,3271
239,idée,nf,idea,que pensez-vous de cette idée? –,what do you think of this idea?,81,6128
240,selon,prep,according to,tout est prêt selon vos désirs –,everything’s ready according to your wishes,68,11561
241,région,nf,region,la région a connu une cinquantaine de massacres –,the region has experienced some fifty massacres,78,7352
242,aimer,v,"to like, love",tu sais que je t’aime –,you know I love you,71,10085
243,sens,nm(pl),"sense, meaning",il manquait un sens à donner à ma vie –,there was a lack of meaning in my life,82,5836
244,retrouver,v,"to find, recall",je te retrouve dehors –,I’ll find you outside,84,5166
245,semaine,nf,week,ma pièce se jouait cette semaine –,my play was showing that week,79,6831
246,également,adv,"also, too, as well, equally",reculer est également hors de question –,backing down is also not an option,74,9011
247,ci,"adv, pro","this one, here","et celui-ci? oui, il est vraiment super –","and this one here? yes, he’s really great",83,5303
248,façon,nf,"way, manner","c’est une façon de voir, je suppose –","it’s a way of looking at it, I guess",75,8326
249,nombre,nm,number,il existe un nombre infini de réponses possibles –,there are an infinite number of possible answers,78,7158
250,perdre,v,to lose,"vous avez perdu votre mère, mademoiselle? –","did you lose your mother, miss?",82,5728
251,français,nadj(pl),French,il faut leur parler en français –,you need to speak to them in French,71,9969
252,expliquer,v,to explain,"je vous en prie, expliquez-moi tout –","I beg you, explain everything to me",82,5749
253,quatre,"det, nmi",four,nous sommes quatre étudiants dans la maison –,we’re four students sharing a house,80,6272
254,compte,nm,"account, count",cette ville a eu son compte de désastres –,this city has had its fair share of disasters,81,5923
255,considérer,v,to consider,la présidence considère cela comme une priorité majeure –,the presidency considers that a major priority,85,4591
256,lorsque,conj,when,que se passe-t-il lorsque nous manquons de sucre? –,what happens when we lack sugar?,74,8682
257,ouvrir,v,to open,"s’il vous plaît, ouvrez les yeux –",please open your eyes,83,5254
258,gagner,v,"to win, earn",que le meilleur gagne –,may the best man win,88,3492
259,exemple,nm,example,ces exemples sont encore bien pauvres –,these examples are still very weak,73,8876
260,ville,nf,city,nous étions de la même ville –,we were from the same city,81,5914
261,économique,nadj(f),"economic, economical",le rétablissement économique de l’Asie est plus rapide que prévu –,Asian economic recovery is faster than projected,77,7421
262,mesure,nf,measure,écrire me libère dans une certaine mesure –,writing liberates me to a certain extent,70,9966
263,histoire,nf,"history, story",on a raconté d’amusantes histoires –,we told funny stories,80,6193
264,haut,"adv, nadj","top, high",voilà qui vous lancera dans la haute société –,that’s who will launch you into high society,84,4897
265,ensuite,adv,next,ensuite il va au restaurant –,then he’s going to the restaurant,88,3533
266,guerre,nf,war,"c’est nul, la guerre! –",war is nothing!,77,6897
267,loi,nf,law,je vais voter contre le projet de loi –,I’m going to vote against the bill,53,17361
268,président,nm,president,j’ai rencontré le président des Etats-Unis –,I met the president of the U.S.,63,12235
269,exister,v,to exist,le risque n’existe plus –,there is no more risk,83,5074
270,sûr,adj,sure,"tu m’attends? bien sûr, poupée –","will you wait for me? of course, doll",78,6629
271,refuser,v,to refuse,attendez…vous refusez d’obéir? –,wait… you refuse to obey?,87,3714
272,plutôt,adv,rather,ce jet vole plutôt bas –,this jet is flying rather low,83,4794
273,bureau,nm,"office, desk",il veut vous voir dans son bureau immédiatement –,he wants to see you in his office immediately,91,2518
274,mauvais,"adv, nadj(pl)","bad, wrong",il constitue un pas dans la mauvaise direction –,it constitutes a step in the wrong direction,88,3425
275,quant,adv,as for,les vents tempêtueux ont modifié la situation quant aux avalanches –,the stormy winds changed the avalanche situation,89,2911
276,mort,"adj, nf",dead; death,la mort ne m’effraye pas –,death doesn’t frighten me,71,8855
277,mal,"adji, adv, nm",bad,"autrement dit, la journée a plutôt mal commencé –","in other words, the day started out rather badly",77,6809
278,lire,"nf, v",to read; lira,je ne voulais pas lire mes poèmes –,I didn’t want to read my poems,80,5707
279,réussir,v,to succeed,il ne réussit pas à vendre un seul dessin,he can’t manage to sell even one drawing,89,2822
280,marché,nm,market,le marché des maisons est resté stable –,the housing market has remained stable,74,7783
281,condition,nf,condition,l’unité de la condition humaine –,the unity of the human condition,80,5589
282,international,nadj,international,elle jouit également d’une excellente réputation internationale –,she also has an excellent international reputation,70,9001
283,changer,v,to change,"ensemble, ils ont changé beaucoup de choses –","together, they changed many things",82,5082
284,oui,"adv, nmi",yes,"oui, oui, je sais! –","yes, yes, I know",62,12295
285,public,nadj,"public, audience",je dois beaucoup au public –,I owe a lot to the public,78,6074
286,humain,nadj,human,"vous savez, on est humains, nous aussi –","you know, we are also human",81,5151
287,souvent,adv,often,mais alors souvent en fin de soirée c’est la fête –,"well, often the night ends with a party",79,5945
288,cinq,"det, nm(pl)",five,"j’ai cinq minutes, je dois rencontrer quelqu’un à midi –",I have five minutes—I have to meet someone at noon,77,6263
289,système,nm,system,j’ai décrit le système idéal –,I described the ideal system,65,10450
290,travailler,v,to work,nous devons travailler ensemble –,we have to work together,76,6761
291,jeu,nm,game,nous n’entrons pas dans le jeu de la politique –,we don’t enter into the political fray,85,3874
292,vrai,"adv, nadj",true,"ah, oui, c’est vrai –","oh, yes, that’s right",73,7846
293,représenter,v,to represent,il représente bien le sport français –,he represents French sports very well,80,5385
294,madame,nf,"madam, lady",et je suis au service de madame –,"I’m at your service, ma’am",71,8195
295,société,nf,society,on vit dans une société où tout s’accélère –,we live in a society where everything is accelerating,73,7615
296,difficile,nadj(f),difficult,"c’est difficile, monsieur, très difficile d’être un homme –","sir, it’s difficult—very difficult—to be a man",84,4116
